CASE_PARTICIPANT_ID,LAW_ENFORCEMENT_AGENCY,INCIDENT_CITY,CHARGE_ID,CLASS.INITIATIONS,SECTION,AOIC,AGE_AT_INCIDENT,GENDER,RACE,UPDATED_OFFENSE_CATEGORY,JUDGE,COURT_NAME,COURT_FACILITY,CHARGE_REDUCTION
"486,863,567,065",OAK FOREST PD,Oak Forest,"595,731,435,935",4,16-25(a)(1),16720,32,Male,White,Retail Theft,John Joseph Hynes,District 5 - Bridgeview,Bridgeview Courthouse,0
"486,866,007,459",ORLAND PARK PD,Orland Park,"595,740,033,533",4,16-25(a)(1),16720,44,Female,Black,Retail Theft,Joan Margaret O'Brien,District 5 - Bridgeview,Bridgeview Courthouse,0
"486,899,806,909",MIDLOTHIAN PD,Midlothian,"595,764,598,100",4,16-25(a)(1),16720,42,Male,Black,Retail Theft,Brian K Flaherty,District 6 - Markham,Markham Courthouse,0
"486,918,841,978",SKOKIE PD,Skokie,"595,812,007,713",3,16-25(a)(1),16722,22,Male,White,Retail Theft,Garritt E Howard,District 2 - Skokie,Skokie Courthouse,0
"486,919,818,135",MATTESON PD,Matteson,"595,812,253,359",4,16-25(a)(1),16720,33,Female,Black,Retail Theft,Frank G Zelezinski,District 6 - Markham,Markham Courthouse,0
"486,948,004,680",CHICAGO PD,Chicago,"595,846,398,107",3,16-25(a)(1),16722,43,Male,White,Retail Theft,William T O'Brien,District 2 - Skokie,Skokie Courthouse,0
"486,956,241,008",SKOKIE PD,Skokie,"595,857,779,689",4,16-25(a)(1),16720,35,Male,White,Retail Theft,Garritt E Howard,District 2 - Skokie,Skokie Courthouse,0
"486,962,036,943",NORTHLAKE PD,Northlake,"595,859,089,799",4,16-25(a)(1),16720,25,Female,White,Retail Theft,Carol A Kipperman,District 4 - Maywood,Maywood Courthouse,0
"486,968,992,064",NILES PD,Niles,"595,861,136,847",3,16-25(a)(1),16722,53,Female,White,Retail Theft,Garritt E Howard,District 2 - Skokie,Skokie Courthouse,0
"486,974,360,930",SCHAUMBURG PD,Schaumburg,"595,864,821,532",4,16-25(a)(1),16720,49,Female,White,Retail Theft,Jill  Cerone-Marisie,District 3 - Rolling Meadows,Rolling Meadows Courthouse,0
